Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord,Release Year,year
16,7,10,2021-05-21--2021-05-28,traitor,19480679,Olivia Rodrigo,6266514.0,5CZ40GBx1sQ9agT82CLQCT,pop,2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",94.0,0.38,0.33899999999999997,-7.885,0.0338,0.691,0.12,100.60700000000001,229227.0,0.0849,D#/Eb,2021.0,1970.0
17,3,17,2021-05-21--2021-05-28,deja vu,18571755,Olivia Rodrigo,6266514.0,6HU7h9RYOaPRFeh0R3UeAr,pop,2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09",93.0,0.442,0.612,-7.222,0.11199999999999999,0.584,0.37,180.917,215507.0,0.17800000000000002,D,2021.0,1970.0
18,5,14,2021-04-23--2021-04-30,Save Your Tears (with Ariana Grande) (Remix),18053141,The Weeknd,35305637.0,37BZB0z9T8Xu7U3e65qxFy,canadian contemporary r&b,2021-04-23,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30",94.0,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.09100000000001,191014.0,0.593,C,2021.0,1970.0
18,5,14,2021-04-23--2021-04-30,Save Your Tears (with Ariana Grande) (Remix),18053141,The Weeknd,35305637.0,37BZB0z9T8Xu7U3e65qxFy, canadian pop,2021-04-23,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30",94.0,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.09100000000001,191014.0,0.593,C,2021.0,1970.0
18,5,14,2021-04-23--2021-04-30,Save Your Tears (with Ariana Grande) (Remix),18053141,The Weeknd,35305637.0,37BZB0z9T8Xu7U3e65qxFy, pop,2021-04-23,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30",94.0,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.09100000000001,191014.0,0.593,C,2021.0,1970.0
19,14,5,2021-07-02--2021-07-09,AM Remix,17617965,"Nio Garcia, J Balvin, Bad Bunny",2123734.0,05bfbizlM5AX6Mf1RRyMho,latin,2021-06-24,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",93.0,0.743,0.655,-5.015,0.159,0.114,0.0764,172.03099999999998,261335.0,0.785,F#/Gb,2021.0,1970.0
19,14,5,2021-07-02--2021-07-09,AM Remix,17617965,"Nio Garcia, J Balvin, Bad Bunny",2123734.0,05bfbizlM5AX6Mf1RRyMho, reggaeton,2021-06-24,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",93.0,0.743,0.655,-5.015,0.159,0.114,0.0764,172.03099999999998,261335.0,0.785,F#/Gb,2021.0,1970.0
19,14,5,2021-07-02--2021-07-09,AM Remix,17617965,"Nio Garcia, J Balvin, Bad Bunny",2123734.0,05bfbizlM5AX6Mf1RRyMho, trap latino,2021-06-24,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",93.0,0.743,0.655,-5.015,0.159,0.114,0.0764,172.03099999999998,261335.0,0.785,F#/Gb,2021.0,1970.0
20,20,7,2021-07-23--2021-07-30,Need To Know,16908917,Doja Cat,8640063.0,3Vi5XqYrmQgOYBajMWSvCi,dance pop,2021-06-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18",90.0,0.664,0.609,-6.5089999999999995,0.0707,0.304,0.0926,130.041,210560.0,0.19399999999999998,C#/Db,2021.0,1970.0
20,20,7,2021-07-23--2021-07-30,Need To Know,16908917,Doja Cat,8640063.0,3Vi5XqYrmQgOYBajMWSvCi, pop,2021-06-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18",90.0,0.664,0.609,-6.5089999999999995,0.0707,0.304,0.0926,130.041,210560.0,0.19399999999999998,C#/Db,2021.0,1970.0
